username,degree,in_degree,out_degree,pagerank,community_id
UkrWarReport,4348.0,4348.0,0.0,0.005937563618867717,143
POTUS,3681.0,3681.0,0.0,0.005613549988079222,123
YouTube,2387.0,2387.0,0.0,0.004334243792493571,98
KremlinRussia_E,1439.0,1439.0,0.0,0.0016470937832895585,137
NATO,1426.0,1426.0,0.0,0.001482887302339265,1
McFaul,1288.0,1281.0,7.0,0.0015279013466146375,55
Ukraine,1244.0,1244.0,0.0,0.00141179081796216,119
JoeBiden,1202.0,1202.0,0.0,0.0018346081515672535,410
Reuters,1190.0,1186.0,4.0,0.002086111895567708,145
BorisJohnson,1060.0,1060.0,0.0,0.001482238444155776,156
SecBlinken,1001.0,999.0,2.0,0.0013746618062374974,616
ZelenskyyUa,997.0,996.0,1.0,0.0011922025630871093,697
JackPosobiec,930.0,929.0,1.0,0.001326812867383841,13
FoxNews,762.0,760.0,2.0,0.0009958624927961118,131
nytimes,759.0,759.0,0.0,0.0012369898209728632,398
mfa_russia,708.0,707.0,1.0,0.0003022774706248983,343
CNN,693.0,693.0,0.0,0.0008609924258600282,44
BBCWorld,665.0,664.0,1.0,0.0006911246006601714,142
SkyNews,549.0,539.0,10.0,0.0008039971629487554,393
PoliticalGeeker,529.0,69.0,460.0,5.831041711859647e-05,5330
