username,degree,in_degree,out_degree,pagerank,community_id
UkrWarReport,4348.0,4348.0,0.0,0.0,131
POTUS,3681.0,3681.0,0.0,0.0,92
YouTube,2387.0,2387.0,0.0,0.0,68
KremlinRussia_E,1439.0,1439.0,0.0,0.0,5
NATO,1426.0,1426.0,0.0,0.0,0
McFaul,1288.0,1281.0,7.0,0.0,183
Ukraine,1244.0,1244.0,0.0,0.0,43
JoeBiden,1202.0,1202.0,0.0,0.0,63
Reuters,1190.0,1186.0,4.0,0.0,586
BorisJohnson,1060.0,1060.0,0.0,0.0,70
SecBlinken,1001.0,999.0,2.0,0.0,802
ZelenskyyUa,997.0,996.0,1.0,0.0,540
JackPosobiec,930.0,929.0,1.0,0.0,235
FoxNews,762.0,760.0,2.0,0.0,100
nytimes,759.0,759.0,0.0,0.0,738
mfa_russia,708.0,707.0,1.0,0.0,51
CNN,693.0,693.0,0.0,0.0,287
BBCWorld,665.0,664.0,1.0,0.0,1499
SkyNews,549.0,539.0,10.0,0.0,926
StateDept,519.0,514.0,5.0,0.0,51
